drug1,drug2,label,scenario
107,226,59,S0
108,474,71,S0
109,220,48,S0
110,509,59,S0
43,868,19,S0
111,1067,48,S0
112,1259,48,S0
113,765,74,S0
113,774,74,S0
114,1097,59,S0
52,514,46,S0
115,19,48,S0
116,1054,72,S0
117,1052,72,S0
118,514,19,S0
119,1149,72,S0
120,321,48,S0
121,524,59,S0
122,707,19,S0
123,903,46,S0
124,41,19,S0
15,9,72,S0
125,522,48,S0
33,590,72,S0
126,417,46,S0
127,1420,19,S0
128,241,48,S0
129,908,48,S0
130,128,48,S0
131,33,48,S0
132,562,48,S0
133,489,48,S0
134,148,48,S0
135,520,48,S0
136,837,72,S0
137,49,59,S0
138,598,74,S0
4,41,3,S0
84,246,48,S0
139,92,5,S0
140,738,48,S0
141,656,48,S0
142,1115,1,S0
143,803,59,S0
144,420,48,S0
145,159,46,S0
146,85,69,S0
100,1310,69,S0
147,1327,46,S0
148,427,59,S0
31,334,72,S0
149,382,46,S0
41,688,48,S0
150,250,48,S0
39,485,48,S0
151,50,3,S0
152,533,46,S0
153,1260,11,S0
154,716,46,S0
155,1225,72,S0
156,285,48,S0
157,456,5,S0
158,1333,48,S0
159,1073,46,S0
70,100,69,S0
160,325,19,S0
161,1085,72,S0
162,765,46,S0
163,373,48,S0
164,856,72,S0
165,1149,72,S0
166,686,48,S0
167,1293,72,S0
168,793,48,S0
41,430,46,S0
169,415,73,S0
170,1327,46,S0
171,1077,46,S0
24,60,59,S0
172,594,48,S0
173,831,48,S0
174,235,48,S0
175,977,82,S0
176,1149,72,S0
177,245,48,S0
178,748,46,S0
179,605,74,S0
4,17,3,S0
180,861,52,S0
181,427,59,S0
182,442,72,S0
150,920,48,S0
183,206,15,S0
184,552,48,S0
151,1044,48,S0
18,470,48,S0
10,449,48,S0
185,315,59,S0
186,41,48,S0
106,688,48,S0
187,214,48,S0
188,133,5,S0
189,12,48,S0
190,561,69,S0
191,186,74,S0
192,1259,48,S0
193,1174,3,S0
194,426,48,S0
195,1233,46,S0
196,951,73,S0
197,566,48,S0
198,918,48,S0
199,1147,72,S0
200,1223,46,S0
201,276,9,S0
139,248,46,S0
202,315,48,S0
203,971,46,S0
46,420,48,S0
173,913,69,S0
204,333,3,S0
205,76,19,S0
206,395,48,S0
207,818,46,S0
208,967,3,S0
36,1099,46,S0
21,34,48,S0
43,214,46,S0
209,363,8,S0
210,37,48,S0
211,75,46,S0
212,47,48,S0
213,159,46,S0
214,1170,48,S0
215,589,48,S0
216,386,5,S0
217,900,46,S0
218,1068,48,S0
151,424,3,S0
219,921,56,S0
41,759,48,S0
220,299,68,S0
221,433,46,S0
222,287,48,S0
135,1200,48,S0
223,632,48,S0
224,1186,15,S0
225,303,46,S0
226,355,9,S0
66,929,48,S0
227,634,20,S0
228,644,48,S0
229,845,48,S0
230,736,48,S0
65,38,72,S0
137,603,46,S0
231,1186,15,S0
232,857,3,S0
233,1149,72,S0
83,108,39,S0
28,418,72,S0
234,1068,48,S0
235,527,46,S0
236,70,5,S0
237,698,74,S0
238,659,69,S0
105,1095,72,S0
239,210,48,S0
15,305,72,S0
208,66,74,S0
240,399,48,S0
241,1449,48,S0
242,722,15,S0
243,334,48,S0
232,12,3,S0
244,992,48,S0
245,99,15,S0
246,677,48,S0
112,53,15,S0
240,469,48,S0
247,898,69,S0
248,21,48,S0
249,252,8,S0
250,1159,46,S0
92,248,46,S0
75,441,69,S0
251,726,46,S0
41,1301,69,S0
252,371,48,S0
253,891,72,S0
204,794,3,S0
254,250,48,S0
105,799,15,S0
96,910,5,S0
255,239,46,S0
26,17,48,S0
231,453,48,S0
98,114,59,S0
256,40,46,S0
47,266,48,S0
257,202,48,S0
184,654,48,S0
258,1449,48,S0
226,541,46,S0
259,1225,72,S0
234,1011,72,S0
260,133,48,S0
154,528,46,S0
261,217,46,S0
262,1259,15,S0
120,1118,48,S0
139,226,46,S0
263,474,5,S0
264,823,74,S0
265,418,46,S0
266,259,59,S0
267,1105,72,S0
232,789,3,S0
268,971,46,S0
269,486,5,S0
270,692,59,S0
271,1016,72,S0
272,1121,15,S0
273,134,82,S0
274,282,48,S0
274,172,48,S0
78,678,31,S0
94,714,46,S0
275,1232,48,S0
276,609,36,S0
38,816,48,S0
277,78,3,S0
267,551,46,S0
17,163,48,S0
278,469,48,S0
279,789,46,S0
280,1169,48,S0
127,732,19,S0
281,788,48,S0
252,114,59,S0
282,241,48,S0
283,1248,66,S0
284,672,48,S0
285,386,36,S0
286,524,59,S0
287,843,48,S0
288,315,48,S0
204,1053,72,S0
205,1008,19,S0
289,769,70,S0
290,75,46,S0
291,303,46,S0
215,7,74,S0
292,927,72,S0
293,121,48,S0
294,1005,26,S0
295,27,74,S0
296,1225,72,S0
297,1115,72,S0
298,1020,48,S0
299,60,70,S0
300,63,44,S0
301,411,48,S0
302,456,36,S0
303,587,48,S0
304,465,53,S0
88,267,48,S0
305,837,72,S0
306,360,48,S0
14,149,72,S0
307,392,46,S0
308,533,46,S0
309,643,46,S0
310,426,48,S0
311,722,15,S0
39,184,48,S0
312,659,59,S0
264,1208,74,S0
313,234,3,S0
48,319,48,S0
314,100,82,S0
315,368,13,S0
316,552,82,S0
317,562,60,S0
318,885,72,S0
193,471,3,S0
319,152,48,S0
15,1032,72,S0
320,40,46,S0
254,186,48,S0
321,1267,72,S0
322,490,72,S0
139,917,46,S0
323,95,74,S0
324,1085,48,S0
325,401,63,S0
326,1132,59,S0
327,160,46,S0
200,1079,72,S0
328,1182,72,S0
329,25,46,S0
108,632,71,S0
330,454,48,S0
331,463,24,S0
332,59,48,S0
1,172,28,S0
48,1361,19,S0
333,1055,46,S0
334,664,46,S0
193,69,59,S0
335,695,48,S0
336,514,46,S0
100,390,48,S0
74,1308,48,S0
27,903,46,S0
337,1073,72,S0
338,748,46,S0
339,525,48,S0
256,830,48,S0
340,1003,74,S0
341,1239,46,S0
164,922,48,S0
342,927,72,S0
343,1450,56,S0
3,1195,46,S0
18,1004,48,S0
78,95,48,S0
344,1008,19,S0
345,865,69,S0
133,727,46,S0
346,106,48,S0
347,825,50,S0
348,41,48,S0
331,787,59,S0
349,727,46,S0
350,1032,72,S0
351,108,23,S0
352,831,48,S0
353,1098,46,S0
137,200,36,S0
128,53,15,S0
88,266,48,S0
337,905,72,S0
335,912,48,S0
354,887,46,S0
355,1070,48,S0
167,73,72,S0
356,345,19,S0
357,1032,72,S0
358,329,5,S0
359,57,48,S0
235,810,46,S0
360,971,48,S0
361,576,72,S0
250,900,46,S0
100,466,72,S0
121,178,3,S0
30,1146,48,S0
241,859,84,S0
198,1195,46,S0
76,367,15,S0
362,905,46,S0
363,320,48,S0
31,7,72,S0
363,922,48,S0
346,499,48,S0
313,462,74,S0
364,867,48,S0
61,248,72,S0
365,226,72,S0
366,275,48,S0
367,567,48,S0
368,983,82,S0
369,541,46,S0
370,927,72,S0
371,722,15,S0
8,1073,46,S0
96,1198,5,S0
372,927,72,S0
373,23,31,S0
374,910,48,S0
13,159,46,S0
375,344,63,S0
210,920,48,S0
376,258,8,S0
377,514,71,S0
378,1077,72,S0
325,310,48,S0
379,926,48,S0
183,177,15,S0
380,654,31,S0
287,602,59,S0
381,905,46,S0
382,1347,72,S0
383,249,69,S0
384,1055,46,S0
385,624,36,S0
386,514,48,S0
90,1149,46,S0
387,390,48,S0
388,816,48,S0
334,977,82,S0
389,287,48,S0
81,1451,69,S0
93,1073,66,S0
354,825,69,S0
3,390,48,S0
390,763,69,S0
190,284,48,S0
391,837,46,S0
392,976,46,S0
132,187,48,S0
393,661,69,S0
101,773,8,S0
121,898,3,S0
394,677,48,S0
395,840,48,S0
396,50,48,S0
127,730,19,S0
13,1008,15,S0
397,710,48,S0
398,1010,19,S0
364,285,48,S0
138,136,74,S0
267,334,48,S0
151,216,3,S0
399,1181,48,S0
400,716,46,S0
401,1004,48,S0
402,1085,46,S0
204,464,74,S0
339,977,28,S0
346,418,46,S0
52,73,46,S0
403,457,19,S0
118,1170,48,S0
394,633,48,S0
404,226,46,S0
49,1085,72,S0
405,962,48,S0
167,1167,5,S0
406,1086,19,S0
208,89,74,S0
241,721,84,S0
169,977,82,S0
407,1003,3,S0
50,1452,38,S0
325,721,84,S0
408,677,48,S0
409,471,19,S0
410,671,48,S0
363,677,48,S0
411,765,46,S0
160,760,48,S0
412,1075,19,S0
84,134,48,S0
215,719,8,S0
144,359,48,S0
92,752,48,S0
413,1032,72,S0
414,1052,72,S0
415,567,46,S0
416,476,36,S0
417,259,48,S0
418,1223,46,S0
419,420,48,S0
420,72,48,S0
421,28,46,S0
422,572,36,S0
423,1407,48,S0
424,303,46,S0
204,430,3,S0
235,320,46,S0
425,750,20,S0
426,1026,46,S0
427,664,46,S0
428,276,48,S0
429,461,72,S0
430,27,72,S0
192,53,15,S0
431,47,15,S0
432,589,59,S0
38,1182,72,S0
433,851,46,S0
12,78,48,S0
434,533,46,S0
435,581,10,S0
260,410,48,S0
50,845,48,S0
225,533,46,S0
4,645,74,S0
436,779,74,S0
37,1046,48,S0
277,484,72,S0
385,238,48,S0
9,626,66,S0
437,190,71,S0
438,1434,74,S0
304,486,36,S0
439,467,48,S0
163,285,59,S0
329,962,48,S0
164,905,46,S0
204,280,3,S0
28,274,48,S0
293,630,48,S0
440,334,2,S0
194,905,46,S0
441,376,8,S0
368,165,76,S0
407,997,3,S0
215,588,8,S0
94,903,46,S0
68,101,5,S0
119,995,59,S0
442,328,46,S0
386,275,48,S0
443,567,63,S0
444,1077,46,S0
445,118,72,S0
446,80,48,S0
447,60,8,S0
448,381,74,S0
387,808,15,S0
449,765,46,S0
450,110,48,S0
324,221,48,S0
4,516,3,S0
451,66,48,S0
452,847,48,S0
453,237,72,S0
454,367,48,S0
455,790,48,S0
456,28,46,S0
457,35,72,S0
87,382,46,S0
135,567,46,S0
17,994,48,S0
458,678,31,S0
246,9,48,S0
459,1210,74,S0
460,737,8,S0
461,1102,72,S0
91,189,48,S0
290,1009,48,S0
94,565,48,S0
462,7,46,S0
463,1180,13,S0
379,778,52,S0
464,249,69,S0
465,227,81,S0
198,241,72,S0
249,629,8,S0
466,287,1,S0
467,565,74,S0
468,320,48,S0
469,1301,69,S0
359,278,48,S0
467,1082,74,S0
470,324,48,S0
99,634,9,S0
21,870,48,S0
471,908,48,S0
331,98,59,S0
472,925,72,S0
129,259,48,S0
473,851,46,S0
474,869,48,S0
475,30,59,S0
476,560,48,S0
236,442,11,S0
429,1182,72,S0
121,228,3,S0
349,1085,72,S0
24,1068,48,S0
477,543,74,S0
239,863,19,S0
478,1257,48,S0
479,831,59,S0
480,28,46,S0
213,481,48,S0
481,266,48,S0
482,120,48,S0
483,707,46,S0
320,155,46,S0
280,983,82,S0
484,1135,66,S0
485,607,59,S0
356,323,48,S0
121,613,3,S0
486,1165,48,S0
220,1077,72,S0
340,310,74,S0
417,112,48,S0
217,159,46,S0
327,1055,46,S0
411,1318,48,S0
75,1048,72,S0
467,888,74,S0
487,700,48,S0
488,1147,46,S0
489,275,48,S0
385,456,36,S0
151,992,74,S0
90,678,48,S0
490,182,48,S0
68,916,5,S0
373,603,46,S0
0,102,48,S0
272,159,46,S0
237,1085,72,S0
60,808,48,S0
61,465,57,S0
40,1016,72,S0
139,1062,5,S0
491,632,48,S0
492,285,59,S0
3,223,48,S0
365,249,72,S0
493,409,48,S0
494,1005,74,S0
457,1026,46,S0
495,162,59,S0
496,808,48,S0
497,502,63,S0
264,17,74,S0
498,17,48,S0
499,1132,31,S0
66,865,15,S0
87,252,46,S0
31,1377,72,S0
141,423,48,S0
500,528,46,S0
322,624,72,S0
501,332,1,S0
289,423,70,S0
502,276,53,S0
156,580,48,S0
478,865,69,S0
52,633,48,S0
503,955,48,S0
320,946,46,S0
183,266,15,S0
504,663,46,S0
326,1049,59,S0
101,533,8,S0
505,1012,48,S0
364,194,69,S0
411,413,48,S0
443,194,48,S0
238,44,48,S0
506,1145,74,S0
461,470,72,S0
198,527,36,S0
507,23,31,S0
346,323,48,S0
183,380,15,S0
211,94,59,S0
508,765,46,S0
509,1149,72,S0
15,765,46,S0
14,811,72,S0
474,503,69,S0
510,594,48,S0
511,522,72,S0
512,552,71,S0
4,1052,74,S0
183,278,15,S0
513,294,71,S0
514,851,19,S0
117,1232,48,S0
92,1223,46,S0
394,700,48,S0
258,726,19,S0
238,160,48,S0
495,758,59,S0
476,1453,69,S0
515,252,48,S0
32,371,48,S0
96,664,46,S0
461,793,72,S0
269,374,5,S0
516,533,46,S0
191,706,74,S0
243,562,46,S0
517,664,46,S0
518,303,46,S0
198,754,46,S0
113,344,74,S0
519,903,46,S0
209,1438,46,S0
359,919,48,S0
257,710,48,S0
45,643,46,S0
520,116,48,S0
370,566,72,S0
272,91,48,S0
521,450,48,S0
421,426,48,S0
10,290,48,S0
264,296,74,S0
522,570,12,S0
52,230,46,S0
523,938,48,S0
341,160,48,S0
470,903,46,S0
355,101,69,S0
317,1445,75,S0
524,260,48,S0
380,633,48,S0
88,1259,48,S0
525,325,46,S0
526,40,72,S0
24,216,3,S0
428,1017,74,S0
527,19,48,S0
528,323,46,S0
10,564,48,S0
529,1011,72,S0
530,831,48,S0
363,55,36,S0
186,1086,19,S0
15,638,72,S0
38,290,48,S0
531,905,46,S0
28,393,19,S0
526,48,46,S0
238,1232,26,S0
532,240,48,S0
533,938,19,S0
238,1050,69,S0
194,214,46,S0
51,702,48,S0
472,98,59,S0
215,533,46,S0
534,1026,48,S0
535,385,24,S0
151,493,3,S0
536,588,8,S0
132,676,48,S0
201,45,59,S0
537,104,19,S0
274,181,59,S0
31,851,72,S0
37,1098,46,S0
538,716,72,S0
262,458,15,S0
24,331,59,S0
76,795,59,S0
113,549,32,S0
524,839,36,S0
376,719,8,S0
538,1149,72,S0
286,387,48,S0
391,1026,48,S0
357,905,46,S0
21,521,48,S0
539,288,48,S0
18,558,48,S0
204,547,3,S0
540,1121,19,S0
313,883,3,S0
325,634,46,S0
541,847,48,S0
542,406,72,S0
543,200,71,S0
544,736,48,S0
545,173,71,S0
62,537,48,S0
33,227,21,S0
470,268,48,S0
214,25,46,S0
132,152,48,S0
546,257,48,S0
547,647,59,S0
419,1014,3,S0
548,632,56,S0
401,141,48,S0
549,1032,72,S0
95,1077,72,S0
514,607,69,S0
206,192,48,S0
1,817,48,S0
190,280,48,S0
550,1225,72,S0
551,323,46,S0
268,303,46,S0
552,287,48,S0
191,760,74,S0
78,975,48,S0
263,581,5,S0
553,856,72,S0
554,750,20,S0
555,329,72,S0
556,840,48,S0
557,100,82,S0
558,242,48,S0
90,983,48,S0
431,633,15,S0
177,893,48,S0
559,121,48,S0
560,1225,72,S0
163,287,59,S0
540,305,19,S0
561,77,72,S0
319,1085,48,S0
92,82,48,S0
14,1342,72,S0
562,84,48,S0
173,872,48,S0
513,190,71,S0
252,452,59,S0
563,472,9,S0
200,696,46,S0
290,32,48,S0
564,1121,15,S0
326,586,48,S0
502,69,48,S0
17,461,72,S0
73,766,72,S0
565,1438,46,S0
479,841,59,S0
264,254,74,S0
566,638,48,S0
143,1032,72,S0
183,224,15,S0
5,680,48,S0
567,7,46,S0
568,1044,48,S0
21,1055,46,S0
481,99,15,S0
148,795,48,S0
569,754,48,S0
570,982,46,S0
403,1149,72,S0
536,528,19,S0
571,252,8,S0
572,182,48,S0
573,927,72,S0
574,809,46,S0
575,1077,46,S0
234,514,46,S0
236,140,5,S0
576,589,59,S0
38,1032,46,S0
167,1125,72,S0
451,371,48,S0
562,904,48,S0
152,1095,72,S0
412,563,19,S0
577,545,39,S0
578,1016,46,S0
417,254,48,S0
579,949,48,S0
483,719,48,S0
580,1098,46,S0
39,202,48,S0
361,796,72,S0
581,196,48,S0
58,408,81,S0
582,541,46,S0
583,331,59,S0
307,78,46,S0
584,235,33,S0
585,94,59,S0
69,312,59,S0
586,589,59,S0
116,1109,72,S0
587,1011,72,S0
276,427,59,S0
588,297,59,S0
171,949,48,S0
589,581,48,S0
467,124,74,S0
590,549,48,S0
340,309,74,S0
591,361,74,S0
364,580,48,S0
162,73,24,S0
592,355,82,S0
593,509,59,S0
594,327,48,S0
50,540,46,S0
595,1016,46,S0
224,947,46,S0
366,673,48,S0
97,1221,15,S0
596,174,70,S0
437,763,57,S0
597,103,5,S0
135,282,48,S0
598,277,74,S0
596,328,70,S0
599,1292,72,S0
600,437,74,S0
514,82,48,S0
189,1004,48,S0
601,1070,46,S0
256,192,48,S0
176,241,48,S0
602,456,48,S0
603,95,48,S0
1,910,48,S0
604,720,48,S0
551,426,8,S0
605,438,75,S0
391,874,48,S0
490,94,69,S0
161,711,57,S0
294,1050,69,S0
606,767,8,S0
607,896,59,S0
30,213,48,S0
94,521,48,S0
536,767,8,S0
568,912,48,S0
608,806,48,S0
561,808,48,S0
609,1292,48,S0
254,771,48,S0
413,70,71,S0
262,241,48,S0
610,1454,75,S0
611,433,72,S0
140,1130,48,S0
67,1048,46,S0
261,714,46,S0
612,214,46,S0
235,309,72,S0
70,275,48,S0
613,566,48,S0
614,751,36,S0
47,695,48,S0
333,1052,46,S0
364,1045,72,S0
249,620,8,S0
59,102,48,S0
615,40,46,S0
101,86,8,S0
136,229,46,S0
169,608,48,S0
56,533,46,S0
538,189,72,S0
76,907,15,S0
45,955,48,S0
387,929,15,S0
450,900,48,S0
63,848,75,S0
616,607,69,S0
617,936,46,S0
562,778,48,S0
618,928,11,S0
264,261,74,S0
612,239,46,S0
60,315,59,S0
346,242,48,S0
423,38,48,S0
619,661,48,S0
175,996,48,S0
425,479,20,S0
620,7,46,S0
621,541,46,S0
498,938,46,S0
622,977,82,S0
610,223,75,S0
623,414,48,S0
624,516,48,S0
625,643,46,S0
541,957,48,S0
626,182,2,S0
462,309,46,S0
76,454,15,S0
440,956,74,S0
521,573,48,S0
329,1026,46,S0
627,229,72,S0
426,954,84,S0
50,112,48,S0
160,634,46,S0
310,430,46,S0
476,738,48,S0
126,17,48,S0
51,7,46,S0
628,28,46,S0
629,656,48,S0
571,913,5,S0
630,31,74,S0
631,711,57,S0
561,1256,59,S0
129,286,48,S0
498,627,46,S0
632,100,69,S0
180,334,48,S0
340,234,74,S0
633,551,46,S0
634,837,72,S0
16,1121,15,S0
635,88,48,S0
636,418,46,S0
637,319,48,S0
638,405,36,S0
453,805,46,S0
356,404,19,S0
393,700,48,S0
639,75,32,S0
44,962,48,S0
640,1422,69,S0
521,576,48,S0
208,198,74,S0
568,977,48,S0
416,804,36,S0
518,993,46,S0
276,411,36,S0
641,326,46,S0
298,976,46,S0
642,411,48,S0
643,676,46,S0
644,100,59,S0
637,388,48,S0
37,1170,48,S0
645,303,72,S0
162,28,46,S0
612,97,46,S0
646,622,48,S0
383,825,82,S0
20,202,48,S0
277,966,74,S0
231,418,46,S0
341,128,48,S0
319,1251,48,S0
16,428,72,S0
60,1008,48,S0
426,469,48,S0
567,1048,46,S0
66,851,46,S0
238,472,69,S0
467,449,74,S0
407,630,3,S0
647,676,46,S0
621,1083,5,S0
431,325,72,S0
305,748,46,S0
648,772,69,S0
215,747,74,S0
649,1079,72,S0
517,643,46,S0
483,355,82,S0
126,1070,46,S0
152,1052,72,S0
650,865,48,S0
651,758,69,S0
331,796,48,S0
72,367,48,S0
194,722,15,S0
652,714,48,S0
653,1158,48,S0
654,270,48,S0
655,961,48,S0
656,278,48,S0
461,164,72,S0
374,965,48,S0
657,703,19,S0
235,489,56,S0
23,301,48,S0
658,533,46,S0
389,717,48,S0
479,1075,19,S0
659,661,48,S0
660,23,48,S0
363,2,36,S0
178,1455,8,S0
661,60,8,S0
658,1095,72,S0
662,586,19,S0
663,303,46,S0
664,344,19,S0
326,446,48,S0
18,1225,72,S0
37,426,48,S0
665,516,2,S0
291,673,48,S0
183,309,46,S0
191,41,74,S0
335,3,48,S0
18,754,46,S0
60,402,70,S0
204,956,3,S0
221,1068,48,S0
193,55,3,S0
582,1079,72,S0
666,94,59,S0
481,252,48,S0
667,651,48,S0
63,779,75,S0
47,66,48,S0
246,816,48,S0
233,130,48,S0
188,541,5,S0
346,397,48,S0
668,947,46,S0
669,441,69,S0
277,932,3,S0
670,869,2,S0
362,1026,46,S0
671,936,72,S0
672,795,53,S0
673,719,48,S0
674,88,48,S0
38,178,46,S0
536,350,19,S0
662,563,19,S0
27,579,48,S0
38,206,48,S0
558,150,48,S0
299,58,75,S0
675,838,71,S0
133,972,48,S0
676,717,69,S0
94,127,19,S0
355,480,72,S0
677,469,48,S0
678,983,48,S0
547,119,48,S0
191,819,74,S0
4,625,3,S0
329,982,46,S0
174,1195,48,S0
75,613,19,S0
679,499,60,S0
680,698,72,S0
95,565,48,S0
681,440,66,S0
682,1027,74,S0
683,911,46,S0
502,45,48,S0
684,707,72,S0
545,921,56,S0
685,40,46,S0
374,5,48,S0
686,1099,46,S0
38,311,48,S0
628,43,46,S0
687,192,48,S0
578,48,46,S0
688,385,72,S0
689,763,57,S0
169,990,48,S0
585,357,59,S0
82,172,28,S0
341,252,48,S0
690,1446,48,S0
691,976,46,S0
667,55,48,S0
692,257,48,S0
290,159,46,S0
693,643,46,S0
121,331,59,S0
387,979,33,S0
564,162,48,S0
596,663,46,S0
392,676,46,S0
327,28,46,S0
555,753,72,S0
166,779,75,S0
205,320,19,S0
440,253,74,S0
216,1119,5,S0
694,589,59,S0
695,664,46,S0
696,846,72,S0
697,239,46,S0
364,1393,48,S0
13,519,46,S0
624,117,48,S0
497,1103,19,S0
341,394,48,S0
11,95,59,S0
2,913,69,S0
45,796,48,S0
698,200,80,S0
699,763,57,S0
700,323,48,S0
419,843,59,S0
269,68,5,S0
192,449,48,S0
185,428,59,S0
570,643,46,S0
701,1223,46,S0
194,116,48,S0
268,774,48,S0
581,490,48,S0
249,567,46,S0
206,1015,48,S0
216,1079,72,S0
702,23,31,S0
41,946,46,S0
535,1016,46,S0
160,633,19,S0
573,784,48,S0
364,75,46,S0
30,795,59,S0
459,1155,48,S0
697,1085,72,S0
254,903,72,S0
492,879,59,S0
703,1086,19,S0
704,422,8,S0
264,697,74,S0
9,258,48,S0
231,1200,48,S0
633,882,48,S0
705,198,74,S0
0,946,46,S0
705,634,72,S0
569,971,48,S0
76,722,15,S0
520,162,48,S0
244,464,48,S0
68,173,5,S0
193,735,3,S0
488,479,72,S0
301,581,48,S0
417,240,48,S0
70,134,69,S0
18,223,48,S0
359,707,46,S0
706,75,46,S0
66,818,72,S0
311,493,48,S0
707,765,76,S0
138,605,74,S0
26,399,48,S0
708,360,71,S0
310,1407,48,S0
55,541,46,S0
709,1033,39,S0
710,224,48,S0
281,526,48,S0
264,154,74,S0
346,34,53,S0
461,196,72,S0
711,476,72,S0
228,345,48,S0
712,334,48,S0
137,190,36,S0
193,704,3,S0
580,905,46,S0
713,990,48,S0
714,1238,69,S0
46,268,72,S0
83,708,39,S0
715,826,74,S0
716,837,46,S0
287,724,20,S0
346,12,48,S0
256,920,29,S0
84,840,48,S0
664,104,19,S0
397,469,48,S0
44,983,28,S0
380,97,48,S0
357,239,46,S0
208,203,3,S0
717,1046,48,S0
603,1456,45,S0
104,422,53,S0
174,1072,48,S0
611,698,72,S0
61,1407,48,S0
62,1038,48,S0
718,1040,46,S0
719,798,57,S0
164,242,48,S0
720,537,19,S0
721,1238,69,S0
722,1099,46,S0
723,692,69,S0
724,36,71,S0
446,42,48,S0
725,1026,46,S0
726,947,74,S0
116,773,48,S0
696,116,48,S0
48,499,48,S0
727,1183,74,S0
243,282,48,S0
339,2,48,S0
728,1225,72,S0
204,947,74,S0
729,1141,72,S0
0,243,48,S0
730,345,19,S0
513,131,71,S0
616,1050,69,S0
425,346,48,S0
151,908,59,S0
731,546,69,S0
545,793,71,S0
570,1026,46,S0
151,383,74,S0
207,194,48,S0
732,921,46,S0
414,590,72,S0
97,774,48,S0
481,23,31,S0
344,1195,46,S0
733,52,74,S0
344,732,19,S0
467,780,74,S0
288,107,37,S0
734,1225,72,S0
735,1159,46,S0
331,168,59,S0
736,14,48,S0
492,810,59,S0
737,512,66,S0
37,872,3,S0
257,1121,15,S0
627,1095,72,S0
241,1044,48,S0
15,1343,72,S0
153,565,5,S0
272,348,48,S0
738,1254,69,S0
419,1404,74,S0
739,382,46,S0
740,561,82,S0
111,1016,46,S0
741,1059,48,S0
742,805,46,S0
380,224,48,S0
520,241,48,S0
743,929,48,S0
695,903,46,S0
453,97,46,S0
4,868,3,S0
744,418,46,S0
166,562,46,S0
745,919,48,S0
121,580,3,S0
604,399,48,S0
70,572,48,S0
183,835,72,S0
188,890,11,S0
151,355,29,S0
538,540,72,S0
133,694,69,S0
62,887,48,S0
678,1094,69,S0
34,25,46,S0
746,848,48,S0
747,1455,73,S0
744,32,48,S0
37,223,48,S0
204,153,3,S0
344,1016,46,S0
241,1146,84,S0
262,779,15,S0
374,927,72,S0
169,553,74,S0
452,1102,74,S0
470,887,46,S0
735,1015,46,S0
748,1048,46,S0
133,328,46,S0
749,518,48,S0
262,676,15,S0
750,869,2,S0
299,779,75,S0
301,410,48,S0
185,454,48,S0
722,1014,51,S0
497,657,19,S0
709,437,39,S0
699,113,72,S0
751,1203,26,S0
256,710,48,S0
752,1225,72,S0
70,547,48,S0
45,214,46,S0
511,70,72,S0
262,78,15,S0
172,791,69,S0
672,627,46,S0
667,1032,72,S0
87,885,72,S0
313,409,3,S0
753,698,3,S0
754,117,48,S0
755,946,72,S0
272,541,46,S0
634,1098,72,S0
562,348,48,S0
513,751,71,S0
38,72,48,S0
205,12,19,S0
53,590,72,S0
472,109,72,S0
29,224,19,S0
717,408,48,S0
593,798,53,S0
756,95,48,S0
291,900,46,S0
173,70,48,S0
140,694,69,S0
222,1049,59,S0
331,1001,48,S0
210,760,48,S0
389,635,48,S0
67,982,46,S0
